sig_genes_by_c157,gene_symb_by_c157,sig_genes_by_c91215,gene_symb_by_c91215,sig_genes_by_c101819,gene_symb_by_c101819
ENSG00000262304,NA,ENSG00000274588,NA,ENSG00000107130,NCS1
ENSG00000180509,KCNE1,ENSG00000106624,KCNE1,ENSG00000255152,MSH5-SAPCD1
ENSG00000142494,SLC47A1,ENSG00000276368,SLC47A1,ENSG00000102383,ZDHHC15
ENSG00000228253,ATP8,ENSG00000186281,ATP8,ENSG00000078814,MYH7B
ENSG00000221866,PLXNA4,ENSG00000100197,PLXNA4,ENSG00000158220,ESYT3
ENSG00000167618,LAIR2,ENSG00000088881,LAIR2,ENSG00000144152,FBLN7
ENSG00000196159,FAT4,ENSG00000063127,FAT4,ENSG00000258465,NA
ENSG00000172296,SPTLC3,ENSG00000171680,SPTLC3,ENSG00000177602,HASPIN
ENSG00000197696,NMB,ENSG00000172568,NMB,ENSG00000037897,METTL1
ENSG00000128165,ADM2,ENSG00000185897,ADM2,ENSG00000179761,PIPOX
ENSG00000183628,DGCR6,ENSG00000175701,DGCR6,ENSG00000185386,MAPK11
ENSG00000166444,ST5,ENSG00000132517,ST5,ENSG00000183628,DGCR6
ENSG00000276547,PCDHGB5,ENSG00000285713,PCDHGB5,ENSG00000133121,STARD13
ENSG00000175445,LPL,ENSG00000188171,LPL,ENSG00000155542,SETD9
ENSG00000203546,NA,ENSG00000105889,NA,ENSG00000110944,IL23A
ENSG00000255374,TAS2R43,ENSG00000168903,TAS2R43,ENSG00000148082,SHC3
ENSG00000135423,GLS2,ENSG00000198515,GLS2,ENSG00000196878,LAMB3
ENSG00000255641,NA,ENSG00000164638,NA,ENSG00000240764,PCDHGC5
ENSG00000170345,FOS,ENSG00000168502,FOS,ENSG00000147100,SLC16A2
ENSG00000125618,PAX8,ENSG00000141448,PAX8,ENSG00000105711,SCN1B
ENSG00000185561,TLCD2,ENSG00000146250,TLCD2,ENSG00000213297,ZNF625-ZNF20
ENSG00000142089,IFITM3,ENSG00000284755,IFITM3,ENSG00000125618,PAX8
ENSG00000185198,PRSS57,ENSG00000213214,PRSS57,ENSG00000170293,CMTM8
ENSG00000120129,DUSP1,ENSG00000268975,DUSP1,ENSG00000128165,ADM2
ENSG00000237541,HLA-DQA1,ENSG00000156206,HLA-DQA1,ENSG00000135423,GLS2
ENSG00000248712,CCDC153,ENSG00000263155,CCDC153,ENSG00000036448,MYOM2
ENSG00000196826,NA,ENSG00000153976,NA,ENSG00000164850,GPER1
ENSG00000174348,PODN,ENSG00000122952,PODN,ENSG00000197275,RAD54B
ENSG00000285901,NA,ENSG00000212123,NA,ENSG00000213648,SULT1A4
