"sig_genes_by_c157","gene_symb_by_c157","sig_genes_by_c91215","gene_symb_by_c91215","sig_genes_by_c101819","gene_symb_by_c101819"
"ENSG00000160201","U2AF1","ENSG00000171680","U2AF1","ENSG00000269313","MAGIX"
"ENSG00000143195","ILDR2","ENSG00000275395","ILDR2","ENSG00000129354","AP1M2"
"ENSG00000163221","S100A12","ENSG00000256500","S100A12","ENSG00000135423","GLS2"
"ENSG00000203852","HIST2H3A","ENSG00000163293","HIST2H3A","ENSG00000019144","PHLDB1"
"ENSG00000203546",NA,"ENSG00000154274",NA,"ENSG00000152475","ZNF837"
"ENSG00000196826",NA,"ENSG00000151090",NA,"ENSG00000129048","ACKR4"
"ENSG00000198892","SHISA4","ENSG00000285130","SHISA4","ENSG00000147100","SLC16A2"
"ENSG00000000971","CFH","ENSG00000122952","CFH","ENSG00000099958","DERL3"
"ENSG00000160062","ZBTB8A","ENSG00000186047","ZBTB8A","ENSG00000078081","LAMP3"
"ENSG00000154380","ENAH","ENSG00000273217","ENAH","ENSG00000128165","ADM2"
"ENSG00000260537",NA,"ENSG00000283765",NA,"ENSG00000143630","HCN3"
"ENSG00000104432","IL7","ENSG00000158286","IL7","ENSG00000260861",NA
"ENSG00000104177","MYEF2","ENSG00000143921","MYEF2","ENSG00000148082","SHC3"
"ENSG00000172058","SERF1A","ENSG00000106624","SERF1A","ENSG00000237651","C2orf74"
"ENSG00000259040","BLOC1S5-TXNDC5","ENSG00000050165","BLOC1S5-TXNDC5","ENSG00000065833","ME1"
"ENSG00000148935","GAS2","ENSG00000168502","GAS2","ENSG00000204839","MROH6"
"ENSG00000258644","SYNJ2BP-COX16","ENSG00000188171","SYNJ2BP-COX16","ENSG00000251201","TMED7-TICAM2"
"ENSG00000163380","LMOD3","ENSG00000198963","LMOD3","ENSG00000105711","SCN1B"
"ENSG00000091536","MYO15A","ENSG00000242689","MYO15A","ENSG00000213934","HBG1"
"ENSG00000099958","DERL3","ENSG00000240563","DERL3","ENSG00000272636","DOC2B"
"ENSG00000143546","S100A8","ENSG00000154263","S100A8","ENSG00000163380","LMOD3"
"ENSG00000075218","GTSE1","ENSG00000177380","GTSE1","ENSG00000142089","IFITM3"
"ENSG00000204983","PRSS1","ENSG00000148143","PRSS1","ENSG00000129646","QRICH2"
"ENSG00000189337","KAZN","ENSG00000255152","KAZN","ENSG00000258465",NA
"ENSG00000271741",NA,"ENSG00000270316",NA,"ENSG00000111057","KRT18"
"ENSG00000105948","TTC26","ENSG00000100197","TTC26","ENSG00000185482","STAC3"
"ENSG00000269313","MAGIX","ENSG00000272921","MAGIX","ENSG00000272949",NA
"ENSG00000213889","PPM1N","ENSG00000112139","PPM1N","ENSG00000162526","TSSK3"
