ENSEMBL,logFC,P.Value
ENSG00000135914,-0.823574371,0.080418137
ENSG00000100473,0.781428147,0.080843105
ENSG00000176927,-1.099885072,0.080906519
ENSG00000106537,0.746994069,0.081007794
ENSG00000240505,1.083339925,0.081107255
ENSG00000135976,-0.446725219,0.08114828
ENSG00000104872,0.257090233,0.08134603
ENSG00000126351,0.291565364,0.081409924
ENSG00000125534,-0.766037331,0.081487279
ENSG00000166439,-0.214289804,0.08155188
ENSG00000222046,0.782451591,0.081699935
ENSG00000138744,0.337095159,0.081710534
ENSG00000198551,0.326006374,0.081837522
ENSG00000243989,-0.48637875,0.082002647
ENSG00000123104,-0.27300217,0.082151663
ENSG00000237440,0.425027104,0.082154524
ENSG00000174669,0.660283856,0.082321941
ENSG00000137941,-0.765957944,0.08242491
ENSG00000283208,-0.439861245,0.082535933
ENSG00000204316,0.347264346,0.082557609
ENSG00000144645,0.749321042,0.082871061
ENSG00000139160,-0.457055908,0.083000454
ENSG00000204977,-0.270539027,0.083015483
ENSG00000215788,0.606502626,0.083551123
ENSG00000204410,-0.529332722,0.083686996
ENSG00000081237,-0.227975587,0.083704778
ENSG00000196557,1.050265051,0.083764921
ENSG00000204444,0.407529604,0.08383996
ENSG00000197457,0.606554921,0.084031729
ENSG00000156709,0.297926398,0.084057197
ENSG00000178562,0.598047518,0.084132926
ENSG00000184428,0.437228271,0.084170595
ENSG00000163293,-1.231031223,0.084514677
ENSG00000164220,-0.573041931,0.084527517
ENSG00000129521,-0.52401862,0.084546284
ENSG00000284024,0.211120729,0.084720523
ENSG00000173517,-0.357356307,0.084812512
ENSG00000253710,-0.262016902,0.084927167
ENSG00000188996,-0.952492226,0.085032979
ENSG00000094914,0.256874023,0.085417472
ENSG00000186446,0.544246738,0.08547598
ENSG00000274997,0.981663715,0.085480823
ENSG00000153922,-0.207742605,0.085541268
ENSG00000142544,0.601417111,0.085577293
ENSG00000173588,-0.296766342,0.085779951
ENSG00000167394,0.306327543,0.085796834
ENSG00000129235,0.342400789,0.085852775
ENSG00000018408,-0.873610285,0.086066909
ENSG00000203618,-1.202167697,0.086386953
ENSG00000011590,0.567200896,0.086466665
ENSG00000111716,0.501870083,0.086497697
ENSG00000009830,-0.435028125,0.086548263
ENSG00000070759,-0.311382898,0.08664448
